detalle_id,pedido_id,producto_id,cantidad,precio_lista,precio_unitario,costo_unitario,descuento_aplicado
43,94,47,1,18.0,18.0,8.09,0.0
44,353,1,1,1400.0,1400.0,1032.91,0.0
45,353,2,1,1200.0,1200.0,905.74,0.0
46,383,37,1,22.0,22.0,9.7,0.0
47,383,18,1,25.0,25.0,11.45,0.0
48,541,26,1,45.0,45.0,20.19,0.0
49,853,42,2,32.0,32.0,14.51,0.0
50,898,36,1,18.0,18.0,8.06,0.0
51,715,35,1,40.0,40.0,18.17,0.0
52,773,6,1,850.0,850.0,673.32,0.0
53,773,7,1,700.0,700.0,565.96,0.0
54,72,2,1,1200.0,1200.0,896.71,0.0
55,36,32,1,18.0,18.0,8.17,0.0
56,630,40,1,28.0,28.0,12.64,0.0
57,546,42,1,32.0,32.0,14.33,0.0
58,379,20,1,12.0,12.0,5.47,0.0
59,74,2,1,1200.0,1200.0,891.13,0.0
60,74,46,1,8.0,8.0,3.65,0.0
61,698,18,1,25.0,25.0,11.47,0.0
62,394,50,1,40.0,38.0,18.04,0.05
63,150,32,1,18.0,18.0,8.12,0.0
64,165,35,1,40.0,40.0,18.35,0.0
65,930,38,1,35.0,35.0,15.52,0.0
66,930,6,1,850.0,850.0,689.9,0.0
67,212,18,1,25.0,25.0,11.13,0.0
68,982,29,1,16.0,16.0,7.08,0.0
69,617,43,2,55.0,55.0,25.05,0.0
70,448,48,2,15.0,15.0,6.63,0.0
71,1029,33,1,15.0,15.0,6.62,0.0
72,30,48,1,15.0,14.25,6.65,0.05
73,30,49,1,29.0,29.0,13.27,0.0
74,40,35,1,40.0,40.0,17.83,0.0
75,149,21,2,18.0,18.0,8.14,0.0
76,795,38,1,35.0,35.0,15.69,0.0
77,795,6,1,850.0,850.0,684.25,0.0
78,761,47,2,18.0,18.0,8.25,0.0
79,1089,47,2,18.0,18.0,8.2,0.0
80,497,20,1,12.0,12.0,5.29,0.0
81,899,14,1,650.0,650.0,520.38,0.0
82,810,48,1,15.0,15.0,6.75,0.0
83,705,22,2,22.0,22.0,9.97,0.0
84,916,27,1,32.0,32.0,14.49,0.0
85,1068,7,1,700.0,700.0,566.26,0.0
86,1068,8,1,280.0,280.0,222.68,0.0
87,430,36,1,18.0,18.0,8.11,0.0
88,815,25,1,28.0,28.0,12.81,0.0
89,840,4,1,350.0,332.5,263.37,0.05
90,539,1,1,1400.0,1400.0,1038.5,0.0
91,1014,44,1,16.0,16.0,7.22,0.0
92,310,23,2,35.0,35.0,15.69,0.0
93,463,36,1,18.0,18.0,7.96,0.0
94,322,48,1,15.0,15.0,6.65,0.0
95,469,5,1,1600.0,1600.0,1296.03,0.0
96,469,15,1,60.0,60.0,48.14,0.0
97,663,36,1,18.0,18.0,8.25,0.0
98,521,41,1,45.0,45.0,20.47,0.0
99,737,36,1,18.0,18.0,8.25,0.0
100,414,37,1,22.0,22.0,9.88,0.0
101,537,21,2,18.0,18.0,8.02,0.0
102,537,13,1,1100.0,1045.0,875.87,0.05
103,537,35,1,40.0,40.0,18.21,0.0
104,537,5,1,1600.0,1600.0,1265.68,0.0
105,695,22,1,22.0,22.0,9.87,0.0
106,180,35,1,40.0,40.0,18.03,0.0
107,180,41,1,45.0,45.0,20.41,0.0
108,147,17,1,30.0,30.0,13.45,0.0
109,171,40,1,28.0,28.0,12.63,0.0
110,160,34,1,29.0,29.0,12.9,0.0
111,160,35,1,40.0,40.0,18.05,0.0
112,612,3,1,600.0,570.0,454.27,0.05
113,612,28,1,55.0,55.0,24.49,0.0
114,612,10,1,45.0,45.0,26.72,0.0
115,54,12,1,250.0,250.0,147.94,0.0
116,54,10,1,45.0,45.0,26.58,0.0
117,690,5,1,1600.0,1600.0,1285.83,0.0
118,559,33,1,15.0,15.0,6.63,0.0
119,512,37,1,22.0,22.0,9.95,0.0
120,1114,7,1,700.0,700.0,559.79,0.0
121,1114,9,1,400.0,400.0,244.65,0.0
122,348,36,1,18.0,18.0,8.01,0.0
123,514,23,1,35.0,35.0,15.77,0.0
124,514,43,2,55.0,55.0,24.67,0.0
125,1072,47,1,18.0,18.0,7.95,0.0
126,997,34,1,29.0,29.0,13.19,0.0
127,179,2,1,1200.0,1200.0,893.36,0.0
128,179,14,1,650.0,650.0,509.78,0.0
129,442,32,1,18.0,18.0,8.04,0.0
130,175,47,1,18.0,18.0,8.12,0.0
131,175,29,1,16.0,16.0,7.12,0.0
132,616,32,1,18.0,18.0,8.14,0.0
133,616,30,2,10.0,10.0,4.48,0.0
134,192,38,1,35.0,35.0,15.7,0.0
135,577,20,1,12.0,12.0,5.37,0.0
136,577,26,1,45.0,45.0,20.17,0.0
137,638,25,1,28.0,28.0,12.64,0.0
138,1090,36,2,18.0,18.0,8.16,0.0
139,701,28,1,55.0,55.0,25.05,0.0
140,802,47,2,18.0,18.0,8.2,0.0
141,915,9,1,400.0,400.0,240.0,0.0
142,915,24,1,12.0,12.0,5.51,0.0
143,915,10,1,45.0,45.0,27.38,0.0
144,946,26,1,45.0,45.0,20.24,0.0
145,935,10,1,45.0,45.0,26.51,0.0
146,881,13,1,1100.0,1100.0,891.05,0.0
147,881,5,1,1600.0,1600.0,1278.8,0.0
148,582,9,1,400.0,400.0,238.66,0.0
149,582,10,1,45.0,45.0,27.06,0.0
150,236,13,1,1100.0,1100.0,882.71,0.0
151,236,5,1,1600.0,1520.0,1287.67,0.05
152,592,27,1,32.0,32.0,14.68,0.0
153,389,31,1,8.0,8.0,3.57,0.0
154,389,26,1,45.0,45.0,20.26,0.0
155,513,45,1,10.0,10.0,4.42,0.0
156,522,23,1,35.0,35.0,16.04,0.0
157,947,26,2,45.0,45.0,20.36,0.0
158,1028,22,1,22.0,22.0,9.87,0.0
159,403,41,2,45.0,45.0,20.53,0.0
160,86,49,1,29.0,29.0,12.87,0.0
161,191,50,1,40.0,40.0,17.85,0.0
162,247,22,1,22.0,22.0,9.88,0.0
163,318,35,1,40.0,40.0,18.06,0.0
164,1074,40,1,28.0,28.0,12.56,0.0
165,202,35,1,40.0,40.0,17.66,0.0
166,683,46,1,8.0,8.0,3.62,0.0
167,655,10,1,45.0,45.0,26.89,0.0
168,655,3,1,600.0,600.0,442.72,0.0
169,1002,13,1,1100.0,1100.0,864.29,0.0
170,462,37,1,22.0,22.0,10.1,0.0
171,666,17,2,30.0,30.0,13.56,0.0
172,1087,14,1,650.0,650.0,516.03,0.0
173,540,40,1,28.0,28.0,12.57,0.0
174,260,17,1,30.0,30.0,13.32,0.0
175,23,19,2,90.0,90.0,40.27,0.0
176,777,43,1,55.0,55.0,24.72,0.0
177,777,16,1,15.0,14.25,6.85,0.05
178,292,50,1,40.0,40.0,17.74,0.0
179,292,16,1,15.0,15.0,6.87,0.0
180,338,35,1,40.0,40.0,17.97,0.0
181,151,43,1,55.0,55.0,24.89,0.0
182,232,50,1,40.0,40.0,18.29,0.0
183,182,47,2,18.0,18.0,8.01,0.0
184,924,35,1,40.0,40.0,17.86,0.0
185,924,42,1,32.0,32.0,14.35,0.0
186,924,38,1,35.0,35.0,15.53,0.0
187,227,37,1,22.0,22.0,9.91,0.0
188,506,38,1,35.0,35.0,15.73,0.0
189,1086,33,1,15.0,15.0,6.87,0.0
190,377,21,1,18.0,18.0,8.19,0.0
191,836,18,1,25.0,25.0,11.29,0.0
192,587,45,1,10.0,10.0,4.44,0.0
193,587,33,2,15.0,15.0,6.85,0.0
194,483,1,1,1400.0,1330.0,1063.79,0.05
195,483,45,1,10.0,10.0,4.45,0.0
196,483,32,1,18.0,18.0,7.96,0.0
197,483,14,1,650.0,650.0,522.61,0.0
198,543,3,1,600.0,600.0,452.04,0.0
199,543,20,1,12.0,12.0,5.44,0.0
200,361,6,1,850.0,807.5,680.87,0.05
201,356,40,1,28.0,28.0,12.44,0.0
202,238,34,1,29.0,29.0,12.86,0.0
203,346,9,1,400.0,400.0,236.66,0.0
204,346,4,1,350.0,350.0,267.43,0.0
205,346,14,1,650.0,650.0,510.06,0.0
206,346,3,1,600.0,600.0,458.5,0.0
207,87,33,1,15.0,15.0,6.65,0.0
208,305,4,1,350.0,350.0,262.43,0.0
209,305,24,1,12.0,12.0,5.37,0.0
210,305,1,1,1400.0,1400.0,1042.09,0.0
211,374,50,1,40.0,40.0,18.21,0.0
212,374,45,1,10.0,10.0,4.47,0.0
213,834,44,1,16.0,16.0,7.33,0.0
214,314,48,1,15.0,15.0,6.82,0.0
215,843,30,1,10.0,10.0,4.44,0.0
216,1075,12,1,250.0,250.0,151.97,0.0
217,1075,10,1,45.0,45.0,26.59,0.0
218,688,9,1,400.0,400.0,239.45,0.0
219,610,43,1,55.0,55.0,24.71,0.0
220,978,16,2,15.0,15.0,6.88,0.0
221,978,1,1,1400.0,1400.0,1048.86,0.0
222,1018,5,1,1600.0,1600.0,1292.53,0.0
223,1018,6,1,850.0,850.0,681.35,0.0
224,177,46,1,8.0,8.0,3.6,0.0
225,326,30,2,10.0,10.0,4.42,0.0
226,622,10,1,45.0,45.0,26.71,0.0
227,388,25,1,28.0,28.0,12.36,0.0
228,781,2,1,1200.0,1200.0,896.25,0.0
229,243,30,1,10.0,10.0,4.58,0.0
230,396,5,1,1600.0,1600.0,1267.13,0.0
231,396,6,1,850.0,850.0,680.0,0.0
232,88,2,1,1200.0,1200.0,909.34,0.0
233,2,18,1,25.0,23.75,11.18,0.05
234,18,34,1,29.0,29.0,13.07,0.0
235,8,13,1,1100.0,1045.0,873.55,0.05
236,234,50,1,40.0,40.0,18.1,0.0
237,797,42,2,32.0,32.0,14.53,0.0
238,100,7,1,700.0,700.0,554.42,0.0
239,896,18,1,25.0,25.0,11.28,0.0
240,225,42,1,32.0,32.0,14.44,0.0
241,225,39,1,12.0,12.0,5.41,0.0
242,144,47,1,18.0,18.0,8.09,0.0
243,144,21,1,18.0,18.0,8.22,0.0
244,980,39,1,12.0,12.0,5.41,0.0
245,213,12,1,250.0,250.0,150.25,0.0
246,213,10,1,45.0,45.0,26.95,0.0
247,764,48,2,15.0,15.0,6.75,0.0
248,567,1,1,1400.0,1400.0,1055.03,0.0
249,925,9,1,400.0,380.0,238.28,0.05
250,990,3,1,600.0,600.0,447.97,0.0
251,259,18,2,25.0,25.0,11.27,0.0
252,152,22,1,22.0,22.0,9.86,0.0
253,170,18,1,25.0,25.0,11.07,0.0
254,493,23,2,35.0,35.0,15.46,0.0
255,265,43,1,55.0,55.0,24.29,0.0
256,276,47,1,18.0,18.0,7.95,0.0
257,647,23,1,35.0,35.0,15.68,0.0
258,502,24,1,12.0,12.0,5.43,0.0
259,603,30,1,10.0,10.0,4.42,0.0
260,294,7,1,700.0,700.0,549.09,0.0
261,375,23,1,35.0,35.0,16.02,0.0
262,676,45,1,10.0,10.0,4.49,0.0
263,349,45,2,10.0,10.0,4.47,0.0
264,516,29,1,16.0,16.0,7.31,0.0
265,659,29,1,16.0,16.0,7.28,0.0
266,659,43,2,55.0,55.0,24.31,0.0
267,321,31,1,8.0,8.0,3.6,0.0
268,650,23,1,35.0,35.0,15.63,0.0
269,650,38,2,35.0,35.0,16.03,0.0
270,650,20,1,12.0,12.0,5.5,0.0
271,968,36,1,18.0,18.0,8.11,0.0
272,697,30,1,10.0,10.0,4.5,0.0
273,413,6,1,850.0,850.0,677.69,0.0
274,413,23,1,35.0,35.0,15.5,0.0
275,413,15,1,60.0,60.0,48.27,0.0
276,682,49,1,29.0,29.0,12.84,0.0
277,682,6,1,850.0,850.0,687.95,0.0
278,485,20,1,12.0,12.0,5.43,0.0
279,518,30,1,10.0,9.5,4.52,0.05
280,959,46,1,8.0,8.0,3.61,0.0
281,1136,11,1,80.0,80.0,47.83,0.0
282,1136,42,1,32.0,32.0,14.48,0.0
283,335,38,1,35.0,35.0,15.59,0.0
284,373,8,1,280.0,280.0,226.19,0.0
285,364,13,1,1100.0,1100.0,896.19,0.0
286,397,22,1,22.0,22.0,9.72,0.0
287,974,18,1,25.0,25.0,11.47,0.0
288,974,12,1,250.0,250.0,148.81,0.0
289,903,9,1,400.0,400.0,235.41,0.0
290,903,10,1,45.0,45.0,27.35,0.0
291,1021,9,1,400.0,400.0,236.11,0.0
292,1021,50,1,40.0,40.0,17.97,0.0
293,1021,49,2,29.0,29.0,12.87,0.0
294,1021,3,1,600.0,600.0,445.77,0.0
295,1094,30,2,10.0,10.0,4.45,0.0
296,883,40,1,28.0,28.0,12.5,0.0
297,979,11,1,80.0,80.0,47.46,0.0
298,907,50,1,40.0,40.0,17.99,0.0
299,461,35,1,40.0,40.0,18.23,0.0
300,22,14,1,650.0,650.0,510.38,0.0
301,648,32,2,18.0,18.0,8.06,0.0
302,588,20,1,12.0,12.0,5.49,0.0
303,588,26,1,45.0,45.0,20.12,0.0
304,131,18,1,25.0,23.75,11.42,0.05
305,755,27,1,32.0,32.0,14.24,0.0
306,1022,9,1,400.0,400.0,241.27,0.0
307,250,41,1,45.0,45.0,20.27,0.0
308,250,36,1,18.0,18.0,8.04,0.0
309,423,32,1,18.0,18.0,8.16,0.0
310,1056,6,1,850.0,850.0,682.05,0.0
311,226,21,1,18.0,18.0,8.19,0.0
312,78,13,1,1100.0,1100.0,882.51,0.0
313,78,11,1,80.0,80.0,47.13,0.0
314,57,4,1,350.0,350.0,265.38,0.0
315,70,5,1,1600.0,1600.0,1264.54,0.0
316,70,15,1,60.0,60.0,47.8,0.0
317,345,44,2,16.0,16.0,7.34,0.0
318,116,34,1,29.0,29.0,12.93,0.0
319,221,35,1,40.0,40.0,18.13,0.0
320,619,9,1,400.0,400.0,238.54,0.0
321,286,9,1,400.0,380.0,236.82,0.05
322,286,5,1,1600.0,1600.0,1272.31,0.0
323,286,10,1,45.0,45.0,27.35,0.0
324,561,4,1,350.0,350.0,266.95,0.0
325,231,2,1,1200.0,1200.0,887.62,0.0
326,231,25,1,28.0,28.0,12.72,0.0
327,155,37,1,22.0,22.0,9.99,0.0
328,977,23,2,35.0,35.0,16.02,0.0
329,281,21,1,18.0,18.0,8.16,0.0
330,336,18,1,25.0,23.75,11.04,0.05
331,336,10,1,45.0,45.0,26.69,0.0
332,480,36,2,18.0,18.0,8.0,0.0
333,664,23,1,35.0,35.0,15.83,0.0
334,664,22,1,22.0,22.0,10.09,0.0
335,758,9,1,400.0,400.0,243.9,0.0
336,758,26,1,45.0,45.0,20.27,0.0
337,456,38,1,35.0,35.0,15.47,0.0
338,787,20,2,12.0,12.0,5.35,0.0
339,605,18,1,25.0,25.0,11.45,0.0
340,756,39,2,12.0,12.0,5.44,0.0
341,756,31,1,8.0,8.0,3.66,0.0
342,524,7,1,700.0,665.0,568.23,0.05
343,524,45,1,10.0,10.0,4.53,0.0
344,524,8,1,280.0,280.0,221.59,0.0
345,393,36,2,18.0,17.1,8.25,0.05
346,393,28,1,55.0,52.25,24.35,0.05
347,441,26,1,45.0,45.0,20.55,0.0
348,492,25,1,28.0,28.0,12.6,0.0
349,600,28,2,55.0,55.0,24.96,0.0
350,233,28,1,55.0,55.0,25.17,0.0
351,233,31,1,8.0,8.0,3.57,0.0
352,532,10,1,45.0,45.0,26.48,0.0
353,420,9,1,400.0,400.0,242.99,0.0
354,420,10,1,45.0,45.0,27.14,0.0
355,961,42,1,32.0,32.0,14.58,0.0
356,599,44,1,16.0,15.2,7.14,0.05
357,958,28,1,55.0,55.0,24.91,0.0
358,445,8,1,280.0,280.0,225.01,0.0
359,886,50,1,40.0,40.0,18.05,0.0
360,842,1,1,1400.0,1400.0,1047.87,0.0
361,972,2,1,1200.0,1200.0,906.63,0.0
362,803,36,1,18.0,18.0,7.98,0.0
363,1088,34,1,29.0,29.0,13.26,0.0
364,1096,39,2,12.0,12.0,5.46,0.0
365,1031,25,2,28.0,28.0,12.81,0.0
366,352,32,2,18.0,18.0,8.12,0.0
367,1036,25,1,28.0,28.0,12.41,0.0
368,136,24,1,12.0,12.0,5.48,0.0
369,500,12,1,250.0,250.0,152.28,0.0
370,500,21,1,18.0,18.0,8.07,0.0
371,500,35,1,40.0,40.0,17.94,0.0
372,249,16,1,15.0,15.0,6.87,0.0
373,288,35,1,40.0,40.0,17.78,0.0
374,272,13,1,1100.0,1100.0,883.72,0.0
375,272,11,1,80.0,80.0,48.22,0.0
376,626,14,1,650.0,650.0,517.07,0.0
377,626,5,1,1600.0,1600.0,1289.63,0.0
378,515,5,1,1600.0,1600.0,1285.36,0.0
379,740,9,1,400.0,400.0,239.92,0.0
380,740,2,1,1200.0,1200.0,886.95,0.0
381,308,38,2,35.0,35.0,15.46,0.0
382,798,15,1,60.0,60.0,48.86,0.0
383,798,11,1,80.0,80.0,47.47,0.0
384,143,10,1,45.0,45.0,27.46,0.0
385,143,3,1,600.0,600.0,458.74,0.0
386,636,34,1,29.0,29.0,12.96,0.0
387,475,26,1,45.0,45.0,20.17,0.0
388,475,30,2,10.0,9.5,4.42,0.05
389,846,15,1,60.0,60.0,47.64,0.0
390,950,29,1,16.0,16.0,7.22,0.0
391,950,36,1,18.0,18.0,8.11,0.0
392,392,48,1,15.0,15.0,6.81,0.0
393,21,11,1,80.0,80.0,48.63,0.0
394,21,10,1,45.0,45.0,26.51,0.0
395,1004,22,1,22.0,22.0,9.86,0.0
396,1063,40,2,28.0,28.0,12.63,0.0
397,1035,48,1,15.0,15.0,6.63,0.0
398,953,16,2,15.0,15.0,6.72,0.0
399,1092,6,1,850.0,850.0,677.89,0.0
400,897,33,1,15.0,15.0,6.75,0.0
401,831,48,1,15.0,15.0,6.79,0.0
402,850,44,1,16.0,16.0,7.11,0.0
403,900,10,1,45.0,45.0,26.88,0.0
404,900,3,1,600.0,600.0,446.82,0.0
405,653,30,1,10.0,10.0,4.57,0.0
406,653,12,1,250.0,250.0,152.37,0.0
407,1062,7,1,700.0,700.0,564.29,0.0
408,1062,8,1,280.0,280.0,227.65,0.0
409,1017,7,1,700.0,700.0,551.57,0.0
410,529,35,1,40.0,40.0,18.1,0.0
411,303,9,1,400.0,400.0,242.79,0.0
412,808,22,1,22.0,22.0,9.77,0.0
413,762,50,1,40.0,40.0,17.67,0.0
414,553,41,1,45.0,45.0,20.12,0.0
415,806,40,1,28.0,28.0,12.43,0.0
416,83,22,1,22.0,22.0,9.72,0.0
417,83,5,1,1600.0,1600.0,1270.17,0.0
418,586,13,1,1100.0,1100.0,872.57,0.0
419,1124,8,1,280.0,280.0,219.63,0.0
420,1124,7,1,700.0,700.0,559.95,0.0
421,631,50,1,40.0,40.0,18.08,0.0
422,455,22,1,22.0,22.0,9.79,0.0
423,455,27,2,32.0,32.0,14.49,0.0
424,120,50,1,40.0,40.0,18.07,0.0
425,186,37,1,22.0,22.0,9.92,0.0
426,520,42,1,32.0,32.0,14.43,0.0
427,786,30,1,10.0,10.0,4.42,0.0
428,550,7,1,700.0,665.0,563.74,0.05
429,550,5,1,1600.0,1600.0,1297.31,0.0
430,220,40,1,28.0,28.0,12.81,0.0
431,109,42,1,32.0,32.0,14.35,0.0
432,575,1,1,1400.0,1400.0,1058.04,0.0
433,575,28,2,55.0,55.0,24.84,0.0
434,1095,20,1,12.0,12.0,5.45,0.0
435,579,26,1,45.0,45.0,19.87,0.0
436,548,21,1,18.0,18.0,8.23,0.0
437,875,20,2,12.0,12.0,5.47,0.0
438,402,39,1,12.0,12.0,5.39,0.0
439,435,45,2,10.0,10.0,4.56,0.0
440,435,32,1,18.0,18.0,8.04,0.0
441,722,24,1,12.0,12.0,5.32,0.0
442,722,11,1,80.0,80.0,48.44,0.0
443,528,43,1,55.0,55.0,24.94,0.0
444,1025,20,1,12.0,12.0,5.51,0.0
445,1025,36,1,18.0,18.0,8.03,0.0
446,432,11,1,80.0,80.0,48.82,0.0
447,432,10,1,45.0,45.0,27.12,0.0
448,465,20,2,12.0,12.0,5.43,0.0
449,446,45,1,10.0,10.0,4.44,0.0
450,304,22,1,22.0,22.0,9.98,0.0
451,534,4,1,350.0,350.0,265.62,0.0
452,534,18,1,25.0,25.0,11.36,0.0
453,799,26,2,45.0,45.0,20.34,0.0
454,799,28,1,55.0,55.0,24.67,0.0
455,799,22,1,22.0,22.0,9.72,0.0
456,331,34,2,29.0,29.0,13.12,0.0
457,331,39,1,12.0,12.0,5.29,0.0
458,93,22,1,22.0,22.0,9.81,0.0
459,911,40,1,28.0,28.0,12.6,0.0
460,1115,24,2,12.0,12.0,5.32,0.0
461,1070,9,1,400.0,400.0,240.66,0.0
462,1133,42,1,32.0,32.0,14.59,0.0
463,1120,49,1,29.0,29.0,13.27,0.0
464,1078,17,2,30.0,30.0,13.49,0.0
465,1059,44,1,16.0,16.0,7.1,0.0
466,1079,36,1,18.0,18.0,8.22,0.0
467,878,30,2,10.0,10.0,4.49,0.0
468,841,29,1,16.0,16.0,7.14,0.0
469,841,16,1,15.0,15.0,6.81,0.0
470,293,22,1,22.0,20.9,9.91,0.05
471,228,13,1,1100.0,1100.0,890.54,0.0
472,933,20,1,12.0,12.0,5.37,0.0
473,1069,35,1,40.0,40.0,17.84,0.0
474,319,26,1,45.0,45.0,20.15,0.0
475,319,17,1,30.0,30.0,13.52,0.0
476,210,25,1,28.0,26.6,12.65,0.05
477,223,22,1,22.0,22.0,9.75,0.0
478,763,39,1,12.0,12.0,5.36,0.0
479,880,4,1,350.0,350.0,262.47,0.0
480,880,2,1,1200.0,1200.0,890.56,0.0
481,880,1,1,1400.0,1400.0,1047.98,0.0
482,1106,22,1,22.0,22.0,9.77,0.0
483,855,44,1,16.0,16.0,7.32,0.0
484,855,31,1,8.0,8.0,3.59,0.0
485,855,36,1,18.0,18.0,7.95,0.0
486,609,31,1,8.0,8.0,3.56,0.0
487,609,28,2,55.0,55.0,25.17,0.0
488,807,19,1,90.0,90.0,40.95,0.0
489,807,31,1,8.0,8.0,3.55,0.0
490,807,2,1,1200.0,1200.0,913.38,0.0
491,906,45,1,10.0,10.0,4.58,0.0
492,748,34,1,29.0,29.0,12.86,0.0
493,208,18,1,25.0,25.0,11.35,0.0
494,505,40,1,28.0,28.0,12.5,0.0
495,464,45,1,10.0,10.0,4.57,0.0
496,464,4,1,350.0,350.0,260.75,0.0
497,495,48,1,15.0,15.0,6.82,0.0
498,29,38,2,35.0,35.0,15.91,0.0
499,411,14,1,650.0,650.0,513.6,0.0
500,411,5,1,1600.0,1520.0,1268.56,0.05
501,132,40,1,28.0,28.0,12.57,0.0
502,53,38,1,35.0,35.0,15.53,0.0
503,28,14,1,650.0,650.0,520.29,0.0
504,85,29,2,16.0,16.0,7.16,0.0
505,60,20,1,12.0,12.0,5.44,0.0
506,884,49,1,29.0,29.0,12.88,0.0
507,744,44,1,16.0,16.0,7.31,0.0
508,856,44,1,16.0,16.0,7.07,0.0
509,1066,42,1,32.0,32.0,14.14,0.0
510,774,43,1,55.0,55.0,24.34,0.0
511,788,11,1,80.0,80.0,48.75,0.0
512,941,25,1,28.0,28.0,12.53,0.0
513,941,9,1,400.0,380.0,238.39,0.05
514,941,45,1,10.0,10.0,4.45,0.0
515,1020,3,1,600.0,600.0,451.22,0.0
516,1020,13,1,1100.0,1100.0,865.67,0.0
517,742,41,1,45.0,45.0,20.41,0.0
518,145,22,2,22.0,22.0,9.82,0.0
519,581,29,2,16.0,16.0,7.28,0.0
520,581,27,1,32.0,32.0,14.38,0.0
521,581,19,1,90.0,90.0,41.22,0.0
522,82,8,1,280.0,280.0,221.16,0.0
523,893,16,2,15.0,15.0,6.7,0.0
524,751,41,2,45.0,45.0,20.11,0.0
525,20,13,1,1100.0,1100.0,878.64,0.0
526,20,11,1,80.0,80.0,47.37,0.0
527,334,27,1,32.0,32.0,14.19,0.0
528,34,11,1,80.0,80.0,48.57,0.0
529,112,19,1,90.0,90.0,40.74,0.0
530,625,25,1,28.0,28.0,12.62,0.0
531,159,26,1,45.0,45.0,20.35,0.0
532,169,30,1,10.0,10.0,4.49,0.0
533,169,44,1,16.0,16.0,7.34,0.0
534,169,8,1,280.0,280.0,224.6,0.0
535,169,15,1,60.0,60.0,47.7,0.0
536,496,49,2,29.0,29.0,12.88,0.0
537,473,18,1,25.0,25.0,11.36,0.0
538,458,24,1,12.0,12.0,5.47,0.0
539,525,49,1,29.0,29.0,13.1,0.0
540,92,37,1,22.0,22.0,9.74,0.0
541,268,12,1,250.0,250.0,147.42,0.0
542,268,10,1,45.0,45.0,26.58,0.0
543,654,48,1,15.0,15.0,6.72,0.0
544,296,20,1,12.0,12.0,5.43,0.0
545,720,49,2,29.0,29.0,13.25,0.0
546,519,27,1,32.0,32.0,14.49,0.0
547,63,2,1,1200.0,1200.0,898.1,0.0
548,38,40,1,28.0,28.0,12.79,0.0
549,591,50,1,40.0,40.0,18.13,0.0
550,932,30,1,10.0,10.0,4.54,0.0
551,945,34,1,29.0,29.0,13.31,0.0
552,1105,28,1,55.0,55.0,24.66,0.0
553,104,37,1,22.0,22.0,9.92,0.0
554,104,7,1,700.0,700.0,549.99,0.0
555,491,34,1,29.0,29.0,13.22,0.0
556,1032,20,1,12.0,12.0,5.48,0.0
557,300,45,1,10.0,10.0,4.52,0.0
558,471,34,1,29.0,29.0,13.02,0.0
559,471,5,1,1600.0,1600.0,1265.21,0.0
560,35,34,1,29.0,29.0,13.08,0.0
561,35,43,1,55.0,55.0,25.09,0.0
562,251,19,2,90.0,90.0,40.16,0.0
563,214,49,1,29.0,29.0,12.86,0.0
564,214,4,1,350.0,350.0,266.54,0.0
565,214,42,1,32.0,30.4,14.49,0.05
566,214,1,1,1400.0,1400.0,1069.95,0.0
567,216,37,1,22.0,22.0,9.76,0.0
568,216,26,1,45.0,45.0,20.5,0.0
569,894,49,1,29.0,29.0,13.26,0.0
570,671,17,1,30.0,30.0,13.73,0.0
571,437,45,1,10.0,10.0,4.49,0.0
