pedido_id,cliente_id,fecha_pedido,canal_venta,medio_pago,estado_pedido,tipo_envio,costo_envio
23,173,2023-03-25,Online,Tarjeta de Debito,Entregado,Entrega Estandar,9.0
24,891,2023-03-26,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.99
25,796,2023-03-29,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
26,800,2023-03-29,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
27,683,2023-03-30,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
28,403,2023-03-30,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
29,403,2023-04-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
30,71,2023-04-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
31,577,2023-04-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
32,1004,2023-04-05,Online,Tarjeta de Credito,Entregado,Entrega Estandar,37.93
33,647,2023-04-05,Online,Tarjeta de Credito,Entregado,Entrega Estandar,9.13
34,422,2023-04-05,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
35,455,2023-04-06,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.66
36,49,2023-04-07,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
37,796,2023-04-09,Online,Tarjeta de Credito,Entregado,Entrega Estandar,35.71
38,441,2023-04-10,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.52
39,834,2023-04-11,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
40,72,2023-04-13,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
41,674,2023-04-13,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
42,891,2023-04-16,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.45
43,514,2023-04-17,Online,Transferencia,Cancelado,Entrega Estandar,0.0
44,694,2023-04-18,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
45,1074,2023-04-18,Online,Tarjeta de Credito,Entregado,Entrega Estandar,37.13
46,681,2023-04-19,Online,Tarjeta de Credito,Entregado,Entrega Express,7.43
47,734,2023-04-20,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
48,1047,2023-04-26,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
49,893,2023-05-01,Online,Transferencia,Entregado,Entrega Estandar,33.89
50,1131,2023-05-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
51,1110,2023-05-02,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.76
52,692,2023-05-03,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.33
53,403,2023-05-03,Online,Transferencia,Entregado,Entrega Estandar,7.46
54,114,2023-05-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
55,857,2023-05-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
56,834,2023-05-05,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
57,265,2023-05-05,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
58,1059,2023-05-07,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.27
59,733,2023-05-07,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
60,403,2023-05-08,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
61,732,2023-05-09,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
62,670,2023-05-10,Online,Transferencia,Entregado,Entrega Estandar,8.88
63,441,2023-05-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
64,1103,2023-05-10,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
65,519,2023-05-10,Online,Transferencia,Entregado,Entrega Estandar,8.96
66,1103,2023-05-13,Online,Transferencia,Entregado,Entrega Estandar,7.84
67,796,2023-05-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
68,1014,2023-05-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
69,561,2023-05-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
70,265,2023-05-14,Online,Tarjeta de Debito,Entregado,Entrega Estandar,35.75
71,886,2023-05-14,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.29
72,48,2023-05-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
73,660,2023-05-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
74,54,2023-05-17,Online,Tarjeta de Debito,Devuelto,Entrega Estandar,34.2
75,859,2023-05-17,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
76,865,2023-05-17,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.24
77,1131,2023-05-18,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
78,265,2023-05-18,Online,Tarjeta de Credito,Entregado,Entrega Estandar,33.94
79,1131,2023-05-18,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
80,555,2023-05-19,Online,Tarjeta de Debito,Entregado,Entrega Estandar,9.02
81,799,2023-05-19,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
82,422,2023-05-20,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
83,345,2023-05-20,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
84,972,2023-05-20,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.44
85,403,2023-05-21,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.56
86,164,2023-05-22,Online,Transferencia,Entregado,Entrega Estandar,7.35
87,200,2023-05-22,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.85
88,214,2023-05-22,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
89,1103,2023-05-22,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
90,1131,2023-05-22,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.05
91,690,2023-05-23,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
92,434,2023-05-23,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
93,375,2023-05-24,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
94,39,2023-05-25,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
95,661,2023-05-26,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
96,780,2023-05-31,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
97,1064,2023-05-31,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.59
98,29,2023-05-31,Online,Tarjeta de Credito,Entregado,Entrega Estandar,16.38
99,884,2023-05-31,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
100,214,2023-05-31,Online,Transferencia,Entregado,Entrega Estandar,24.13
101,913,2023-06-01,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
102,721,2023-06-01,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.09
103,1159,2023-06-01,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
104,451,2023-06-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
105,893,2023-06-02,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
106,799,2023-06-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
107,466,2023-06-03,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
108,1173,2023-06-04,Online,Transferencia,Entregado,Entrega Express,14.59
109,353,2023-06-04,Online,Tarjeta de Credito,Cancelado,Entrega Express,0.0
110,1014,2023-06-05,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
111,621,2023-06-06,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
112,422,2023-06-07,Fisico,Tarjeta de Credito,Devuelto,Retiro en Tienda,0.0
113,869,2023-06-09,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
114,561,2023-06-09,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
115,663,2023-06-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
116,265,2023-06-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
117,542,2023-06-11,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
118,577,2023-06-11,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.53
119,542,2023-06-13,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
120,353,2023-06-13,Fisico,Tarjeta de Credito,Devuelto,Retiro en Tienda,0.0
121,470,2023-06-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
122,940,2023-06-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
123,917,2023-06-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
124,834,2023-06-18,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
125,621,2023-06-19,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.29
126,531,2023-06-19,Online,Tarjeta de Credito,Cancelado,Entrega Estandar,0.0
127,1169,2023-06-20,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.29
128,851,2023-06-22,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
129,635,2023-06-22,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
130,653,2023-06-22,Online,Tarjeta de Credito,Entregado,Entrega Estandar,29.11
131,258,2023-06-24,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
132,403,2023-06-25,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
133,2,2023-06-28,Online,Tarjeta de Credito,Cancelado,Entrega Estandar,0.0
134,780,2023-06-30,Online,Tarjeta de Credito,Entregado,Entrega Estandar,9.39
135,937,2023-06-30,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
136,294,2023-07-01,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
137,1191,2023-07-01,Online,Transferencia,Entregado,Entrega Express,8.8
138,834,2023-07-02,Online,Tarjeta de Debito,Entregado,Entrega Estandar,13.76
139,2,2023-07-02,Online,Transferencia,Entregado,Entrega Estandar,31.13
140,887,2023-07-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
141,653,2023-07-03,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.11
142,874,2023-07-03,Online,Tarjeta de Debito,Cancelado,Entrega Express,0.0
143,321,2023-07-04,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
144,225,2023-07-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
145,414,2023-07-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
146,859,2023-07-05,Online,Tarjeta de Credito,Entregado,Entrega Estandar,6.93
147,111,2023-07-05,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.6
148,1054,2023-07-07,Online,Transferencia,Entregado,Entrega Estandar,8.08
149,72,2023-07-07,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
150,59,2023-07-09,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
151,181,2023-07-09,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
152,234,2023-07-09,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
153,1037,2023-07-09,Online,Tarjeta de Credito,Entregado,Entrega Estandar,6.95
154,604,2023-07-11,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
155,266,2023-07-12,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
156,37,2023-07-12,Online,Tarjeta de Credito,Entregado,Entrega Estandar,13.27
157,470,2023-07-13,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
158,834,2023-07-13,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
159,422,2023-07-13,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.12
160,111,2023-07-14,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.24
161,891,2023-07-15,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
162,887,2023-07-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
163,35,2023-07-18,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
164,577,2023-07-18,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
165,66,2023-07-19,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.19
166,780,2023-07-19,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.98
167,542,2023-07-19,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
168,980,2023-07-20,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
169,424,2023-07-21,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
170,234,2023-07-22,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
171,111,2023-07-23,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.23
172,886,2023-07-23,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
173,530,2023-07-23,Online,Transferencia,Devuelto,Entrega Estandar,8.76
174,792,2023-07-23,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
175,136,2023-07-24,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
176,652,2023-07-24,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
177,213,2023-07-27,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.52
178,621,2023-07-27,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
179,129,2023-07-27,Online,Tarjeta de Credito,Entregado,Entrega Estandar,36.83
180,111,2023-07-27,Online,Tarjeta de Credito,Entregado,Entrega Express,7.43
181,521,2023-07-28,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
182,181,2023-07-29,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
183,921,2023-07-29,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
184,1191,2023-07-30,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
185,470,2023-07-30,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
186,353,2023-07-31,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
187,466,2023-07-31,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
188,9,2023-07-31,Online,Transferencia,Cancelado,Entrega Estandar,0.0
189,724,2023-07-31,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.68
190,1036,2023-07-31,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.29
191,164,2023-08-01,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.44
192,141,2023-08-01,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
193,859,2023-08-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
194,2,2023-08-02,Online,Transferencia,Entregado,Entrega Estandar,8.04
195,1177,2023-08-03,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.6
196,887,2023-08-04,Online,Tarjeta de Debito,Entregado,Entrega Express,54.47
197,470,2023-08-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
198,561,2023-08-05,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
199,780,2023-08-05,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
200,1091,2023-08-06,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
201,470,2023-08-06,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
202,166,2023-08-07,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
203,652,2023-08-07,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
204,481,2023-08-07,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
205,24,2023-08-07,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.86
206,944,2023-08-08,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.97
207,652,2023-08-08,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
208,401,2023-08-08,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
209,1037,2023-08-09,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.96
210,383,2023-08-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
211,470,2023-08-10,Online,Transferencia,Entregado,Entrega Estandar,37.51
212,68,2023-08-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
213,228,2023-08-11,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
214,459,2023-08-11,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
215,562,2023-08-11,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
216,459,2023-08-12,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
217,842,2023-08-13,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
218,1087,2023-08-13,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
219,1198,2023-08-14,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
220,353,2023-08-16,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
221,265,2023-08-16,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.18
222,1147,2023-08-16,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
223,383,2023-08-16,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
224,986,2023-08-16,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
225,220,2023-08-17,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
226,265,2023-08-17,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
227,188,2023-08-17,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
228,382,2023-08-18,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
229,1155,2023-08-18,Online,Tarjeta de Credito,Entregado,Entrega Estandar,33.72
230,639,2023-08-18,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
231,266,2023-08-19,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
232,181,2023-08-20,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
233,283,2023-08-21,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
234,214,2023-08-21,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.63
235,904,2023-08-21,Online,Transferencia,Entregado,Entrega Estandar,8.34
236,161,2023-08-22,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
237,936,2023-08-23,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
238,195,2023-08-24,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.06
239,35,2023-08-24,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
240,881,2023-08-24,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
241,935,2023-08-25,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
242,919,2023-08-26,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.49
243,213,2023-08-27,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.19
244,561,2023-08-28,Online,Transferencia,Entregado,Entrega Estandar,7.91
245,35,2023-08-28,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
246,1075,2023-08-28,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
247,166,2023-08-30,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.87
248,664,2023-08-30,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
249,303,2023-08-31,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.95
250,264,2023-08-31,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.16
251,457,2023-08-31,Fisico,Tarjeta de Credito,Devuelto,Retiro en Tienda,0.0
252,947,2023-08-31,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
253,471,2023-09-01,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
254,1057,2023-09-02,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.14
255,823,2023-09-02,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
256,621,2023-09-02,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.14
257,1017,2023-09-03,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
258,891,2023-09-03,Online,Tarjeta de Credito,Entregado,Entrega Estandar,7.07
259,233,2023-09-03,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
260,173,2023-09-04,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
261,1017,2023-09-05,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
262,1135,2023-09-05,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
263,12,2023-09-05,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
264,1136,2023-09-05,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
265,237,2023-09-05,Online,Tarjeta de Credito,Entregado,Entrega Express,7.06
266,724,2023-09-06,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
267,978,2023-09-06,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
268,437,2023-09-06,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
269,941,2023-09-06,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.01
270,491,2023-09-06,Fisico,Tarjeta de Credito,Devuelto,Retiro en Tienda,0.0
271,780,2023-09-07,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
272,308,2023-09-07,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
273,891,2023-09-07,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
274,961,2023-09-07,Online,Tarjeta de Debito,Devuelto,Entrega Estandar,7.86
275,552,2023-09-07,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
276,237,2023-09-08,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
277,780,2023-09-09,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
278,836,2023-09-09,Online,Tarjeta de Credito,Entregado,Entrega Estandar,6.95
279,859,2023-09-09,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.57
280,648,2023-09-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
281,269,2023-09-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
282,887,2023-09-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
283,481,2023-09-10,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
284,1131,2023-09-10,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
285,35,2023-09-11,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
286,266,2023-09-11,Online,Tarjeta de Credito,Entregado,Entrega Estandar,38.18
287,843,2023-09-11,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
288,308,2023-09-11,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
289,463,2023-09-11,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
290,790,2023-09-12,Online,Tarjeta de Credito,Entregado,Entrega Express,8.85
291,891,2023-09-12,Online,Tarjeta de Credito,Entregado,Entrega Estandar,8.06
292,173,2023-09-13,Online,Tarjeta de Debito,Entregado,Entrega Estandar,8.09
293,382,2023-09-14,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
294,237,2023-09-14,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
295,992,2023-09-14,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
296,439,2023-09-14,Online,Tarjeta de Debito,Entregado,Entrega Estandar,7.02
297,1191,2023-09-14,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
298,978,2023-09-15,Online,Tarjeta de Credito,Entregado,Entrega Estandar,6.89
299,552,2023-09-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
300,455,2023-09-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
301,552,2023-09-15,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
302,1154,2023-09-16,Online,Transferencia,Entregado,Entrega Estandar,7.69
303,341,2023-09-17,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
304,371,2023-09-17,Online,Tarjeta de Credito,Cancelado,Entrega Estandar,0.0
305,204,2023-09-17,Online,Tarjeta de Credito,Entregado,Entrega Express,59.94
306,1148,2023-09-17,Online,Tarjeta de Credito,Cancelado,Entrega Estandar,0.0
307,696,2023-09-17,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
308,308,2023-09-19,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
309,530,2023-09-20,Fisico,Transferencia,Entregado,Retiro en Tienda,0.0
310,104,2023-09-20,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
311,662,2023-09-20,Fisico,Tarjeta de Credito,Entregado,Retiro en Tienda,0.0
312,35,2023-09-21,Online,Tarjeta de Credito,Entregado,Entrega Estandar,23.32
313,1191,2023-09-21,Online,Transferencia,Entregado,Entrega Estandar,8.45
314,207,2023-09-21,Fisico,Tarjeta de Debito,Entregado,Retiro en Tienda,0.0
