detalle_id,pedido_id,producto_id,cantidad,precio_lista,precio_unitario,costo_unitario,descuento_aplicado,cliente_id,fecha_pedido,canal_venta,medio_pago,tipo_envio,estado_pedido,costo_envio_linea
740,19,9,1,400.0,400.0,239.6,0.0,577,2023-03-20,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
525,20,13,1,1100.0,1100.0,878.64,0.0,422,2023-03-21,Online,Transferencia,Entrega Estandar,Entregado,18.9
526,20,11,1,80.0,80.0,47.37,0.0,422,2023-03-21,Online,Transferencia,Entrega Estandar,Entregado,18.9
394,21,10,1,45.0,45.0,26.51,0.0,331,2023-03-23,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
393,21,11,1,80.0,80.0,48.63,0.0,331,2023-03-23,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
175,23,19,2,90.0,90.0,40.27,0.0,173,2023-03-25,Online,Tarjeta de Debito,Entrega Estandar,Entregado,9.0
300,22,14,1,650.0,650.0,510.38,0.0,254,2023-03-25,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1107,24,24,1,12.0,12.0,5.49,0.0,891,2023-03-26,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.99
967,25,29,1,16.0,16.0,7.25,0.0,796,2023-03-29,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
978,26,42,1,32.0,32.0,14.28,0.0,800,2023-03-29,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
968,25,30,1,10.0,10.0,4.57,0.0,796,2023-03-29,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
503,28,14,1,650.0,650.0,520.29,0.0,403,2023-03-30,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
863,27,10,1,45.0,45.0,26.85,0.0,683,2023-03-30,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
864,27,3,1,600.0,600.0,452.45,0.0,683,2023-03-30,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
498,29,38,2,35.0,35.0,15.91,0.0,403,2023-04-02,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
72,30,48,1,15.0,14.25,6.65,0.05,71,2023-04-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
73,30,49,1,29.0,29.0,13.27,0.0,71,2023-04-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
741,31,39,1,12.0,12.0,5.37,0.0,577,2023-04-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
528,34,11,1,80.0,80.0,48.57,0.0,422,2023-04-05,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
1279,32,33,1,15.0,15.0,6.77,0.0,1004,2023-04-05,Online,Tarjeta de Credito,Entrega Estandar,Entregado,18.96
1278,32,13,1,1100.0,1100.0,876.58,0.0,1004,2023-04-05,Online,Tarjeta de Credito,Entrega Estandar,Entregado,18.96
804,33,26,1,45.0,45.0,20.06,0.0,647,2023-04-05,Online,Tarjeta de Credito,Entrega Estandar,Entregado,4.57
805,33,19,1,90.0,90.0,40.47,0.0,647,2023-04-05,Online,Tarjeta de Credito,Entrega Estandar,Entregado,4.57
560,35,34,1,29.0,29.0,13.08,0.0,455,2023-04-06,Online,Tarjeta de Credito,Entrega Estandar,Entregado,3.83
561,35,43,1,55.0,55.0,25.09,0.0,455,2023-04-06,Online,Tarjeta de Credito,Entrega Estandar,Entregado,3.83
55,36,32,1,18.0,18.0,8.17,0.0,49,2023-04-07,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
971,37,15,1,60.0,60.0,48.7,0.0,796,2023-04-09,Online,Tarjeta de Credito,Entrega Estandar,Entregado,11.9
970,37,42,1,32.0,32.0,14.38,0.0,796,2023-04-09,Online,Tarjeta de Credito,Entrega Estandar,Entregado,11.9
969,37,6,1,850.0,850.0,675.27,0.0,796,2023-04-09,Online,Tarjeta de Credito,Entrega Estandar,Entregado,11.9
548,38,40,1,28.0,28.0,12.79,0.0,441,2023-04-10,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.52
1006,39,15,1,60.0,60.0,47.93,0.0,834,2023-04-11,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1007,39,11,1,80.0,80.0,48.11,0.0,834,2023-04-11,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
74,40,35,1,40.0,40.0,17.83,0.0,72,2023-04-13,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
848,41,31,1,8.0,8.0,3.55,0.0,674,2023-04-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1113,42,17,1,30.0,30.0,13.5,0.0,891,2023-04-16,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.45
633,43,20,1,12.0,12.0,5.31,0.0,514,2023-04-17,Online,Transferencia,Entrega Estandar,Cancelado,0.0
878,44,50,2,40.0,40.0,18.29,0.0,694,2023-04-18,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1367,45,7,1,700.0,700.0,568.85,0.0,1074,2023-04-18,Online,Tarjeta de Credito,Entrega Estandar,Entregado,18.57
1366,45,5,1,1600.0,1600.0,1275.55,0.0,1074,2023-04-18,Online,Tarjeta de Credito,Entrega Estandar,Entregado,18.57
852,46,34,1,29.0,29.0,12.79,0.0,681,2023-04-19,Online,Tarjeta de Credito,Entrega Express,Entregado,7.43
932,47,14,1,650.0,650.0,527.03,0.0,734,2023-04-20,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
931,47,4,1,350.0,350.0,258.54,0.0,734,2023-04-20,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1347,48,1,1,1400.0,1400.0,1040.48,0.0,1047,2023-04-26,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1349,48,14,1,650.0,650.0,523.74,0.0,1047,2023-04-26,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1348,48,38,2,35.0,35.0,15.59,0.0,1047,2023-04-26,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1119,49,11,1,80.0,80.0,48.35,0.0,893,2023-05-01,Online,Transferencia,Entrega Estandar,Entregado,16.94
1118,49,13,1,1100.0,1100.0,886.38,0.0,893,2023-05-01,Online,Transferencia,Entrega Estandar,Entregado,16.94
1435,50,13,1,1100.0,1100.0,864.53,0.0,1131,2023-05-02,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1422,51,25,1,28.0,28.0,12.78,0.0,1110,2023-05-02,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.76
877,52,48,1,15.0,15.0,6.66,0.0,692,2023-05-03,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.33
502,53,38,1,35.0,35.0,15.53,0.0,403,2023-05-03,Online,Transferencia,Entrega Estandar,Entregado,7.46
115,54,12,1,250.0,250.0,147.94,0.0,114,2023-05-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
116,54,10,1,45.0,45.0,26.58,0.0,114,2023-05-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1047,55,16,1,15.0,15.0,6.63,0.0,857,2023-05-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1010,56,9,1,400.0,400.0,241.52,0.0,834,2023-05-05,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
314,57,4,1,350.0,350.0,265.38,0.0,265,2023-05-05,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
930,59,42,1,32.0,32.0,14.32,0.0,733,2023-05-07,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1356,58,17,1,30.0,30.0,13.46,0.0,1059,2023-05-07,Online,Tarjeta de Credito,Entrega Estandar,Entregado,8.27
505,60,20,1,12.0,12.0,5.44,0.0,403,2023-05-08,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
926,61,21,2,18.0,18.0,8.08,0.0,732,2023-05-09,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1417,64,27,1,32.0,32.0,14.29,0.0,1103,2023-05-10,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
843,62,43,1,55.0,55.0,24.72,0.0,670,2023-05-10,Online,Transferencia,Entrega Estandar,Entregado,8.88
547,63,2,1,1200.0,1200.0,898.1,0.0,441,2023-05-10,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
637,65,16,2,15.0,15.0,6.79,0.0,519,2023-05-10,Online,Transferencia,Entrega Estandar,Entregado,8.96
1420,66,29,1,16.0,16.0,7.23,0.0,1103,2023-05-13,Online,Transferencia,Entrega Estandar,Entregado,7.84
1301,68,20,1,12.0,12.0,5.32,0.0,1014,2023-05-14,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
966,67,21,1,18.0,18.0,8.04,0.0,796,2023-05-14,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
54,72,2,1,1200.0,1200.0,896.71,0.0,48,2023-05-14,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1090,71,36,1,18.0,18.0,8.02,0.0,886,2023-05-14,Online,Tarjeta de Debito,Entrega Estandar,Entregado,8.29
713,69,43,1,55.0,55.0,24.37,0.0,561,2023-05-14,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
316,70,15,1,60.0,60.0,47.8,0.0,265,2023-05-14,Online,Tarjeta de Debito,Entrega Estandar,Entregado,17.88
315,70,5,1,1600.0,1600.0,1264.54,0.0,265,2023-05-14,Online,Tarjeta de Debito,Entrega Estandar,Entregado,17.88
821,73,26,2,45.0,45.0,20.57,0.0,660,2023-05-15,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1061,76,25,2,28.0,28.0,12.56,0.0,865,2023-05-17,Online,Tarjeta de Debito,Entrega Estandar,Entregado,7.24
1058,75,26,1,45.0,45.0,20.23,0.0,859,2023-05-17,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
60,74,46,1,8.0,8.0,3.65,0.0,54,2023-05-17,Online,Tarjeta de Debito,Entrega Estandar,Devuelto,17.1
59,74,2,1,1200.0,1200.0,891.13,0.0,54,2023-05-17,Online,Tarjeta de Debito,Entrega Estandar,Devuelto,17.1
1436,77,18,1,25.0,25.0,11.22,0.0,1131,2023-05-18,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
313,78,11,1,80.0,80.0,47.13,0.0,265,2023-05-18,Online,Tarjeta de Credito,Entrega Estandar,Entregado,16.97
312,78,13,1,1100.0,1100.0,882.51,0.0,265,2023-05-18,Online,Tarjeta de Credito,Entrega Estandar,Entregado,16.97
1439,79,36,2,18.0,18.0,8.05,0.0,1131,2023-05-18,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
703,80,27,1,32.0,32.0,14.12,0.0,555,2023-05-19,Online,Tarjeta de Debito,Entrega Estandar,Entregado,9.02
973,81,19,2,90.0,90.0,40.2,0.0,799,2023-05-19,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
416,83,22,1,22.0,22.0,9.72,0.0,345,2023-05-20,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
417,83,5,1,1600.0,1600.0,1270.17,0.0,345,2023-05-20,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
522,82,8,1,280.0,280.0,221.16,0.0,422,2023-05-20,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1231,84,24,1,12.0,12.0,5.33,0.0,972,2023-05-20,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.44
504,85,29,2,16.0,16.0,7.16,0.0,403,2023-05-21,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.56
1421,89,47,2,18.0,18.0,7.96,0.0,1103,2023-05-22,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
160,86,49,1,29.0,29.0,12.87,0.0,164,2023-05-22,Online,Transferencia,Entrega Estandar,Entregado,7.35
207,87,33,1,15.0,15.0,6.65,0.0,200,2023-05-22,Online,Tarjeta de Debito,Entrega Estandar,Entregado,7.85
232,88,2,1,1200.0,1200.0,909.34,0.0,214,2023-05-22,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1430,90,49,2,29.0,29.0,12.89,0.0,1131,2023-05-22,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.05
540,92,37,1,22.0,22.0,9.74,0.0,434,2023-05-23,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
876,91,36,1,18.0,18.0,8.23,0.0,690,2023-05-23,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
458,93,22,1,22.0,22.0,9.81,0.0,375,2023-05-24,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
43,94,47,1,18.0,18.0,8.09,0.0,39,2023-05-25,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
42,94,26,1,45.0,42.75,19.92,0.05,39,2023-05-25,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
824,95,10,1,45.0,45.0,27.43,0.0,661,2023-05-26,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
825,95,3,1,600.0,600.0,443.51,0.0,661,2023-05-26,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
1362,97,44,2,16.0,16.0,7.33,0.0,1064,2023-05-31,Online,Tarjeta de Credito,Entrega Estandar,Entregado,7.59
238,100,7,1,700.0,700.0,554.42,0.0,214,2023-05-31,Online,Transferencia,Entrega Estandar,Entregado,24.13
25,98,9,1,400.0,400.0,239.82,0.0,29,2023-05-31,Online,Tarjeta de Credito,Entrega Estandar,Entregado,8.19
24,98,39,1,12.0,12.0,5.45,0.0,29,2023-05-31,Online,Tarjeta de Credito,Entrega Estandar,Entregado,8.19
1088,99,36,2,18.0,18.0,8.13,0.0,884,2023-05-31,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
951,96,6,1,850.0,850.0,691.29,0.0,780,2023-05-31,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
907,102,18,1,25.0,25.0,11.43,0.0,721,2023-06-01,Online,Tarjeta de Credito,Entrega Estandar,Entregado,4.04
906,102,20,1,12.0,12.0,5.35,0.0,721,2023-06-01,Online,Tarjeta de Credito,Entrega Estandar,Entregado,4.04
1478,103,28,1,55.0,55.0,24.3,0.0,1159,2023-06-01,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1148,101,46,1,8.0,8.0,3.56,0.0,913,2023-06-01,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
554,104,7,1,700.0,700.0,549.99,0.0,451,2023-06-02,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1117,105,19,1,90.0,90.0,40.5,0.0,893,2023-06-02,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
553,104,37,1,22.0,22.0,9.92,0.0,451,2023-06-02,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
975,106,37,1,22.0,22.0,9.9,0.0,799,2023-06-02,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
590,107,46,2,8.0,8.0,3.67,0.0,466,2023-06-03,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
589,107,16,1,15.0,15.0,6.71,0.0,466,2023-06-03,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1499,108,4,1,350.0,350.0,261.11,0.0,1173,2023-06-04,Online,Transferencia,Entrega Express,Entregado,7.3
1498,108,48,1,15.0,15.0,6.73,0.0,1173,2023-06-04,Online,Transferencia,Entrega Express,Entregado,7.3
431,109,42,1,32.0,32.0,14.35,0.0,353,2023-06-04,Online,Tarjeta de Credito,Entrega Express,Cancelado,0.0
1308,110,42,1,32.0,32.0,14.62,0.0,1014,2023-06-05,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1307,110,4,1,350.0,332.5,267.31,0.05,1014,2023-06-05,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1306,110,27,1,32.0,32.0,14.42,0.0,1014,2023-06-05,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
776,111,32,1,18.0,18.0,8.0,0.0,621,2023-06-06,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
777,111,8,1,280.0,280.0,228.31,0.0,621,2023-06-06,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
529,112,19,1,90.0,90.0,40.74,0.0,422,2023-06-07,Fisico,Tarjeta de Credito,Retiro en Tienda,Devuelto,0.0
723,114,30,1,10.0,9.5,4.55,0.05,561,2023-06-09,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1079,113,29,1,16.0,16.0,7.13,0.0,869,2023-06-09,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
318,116,34,1,29.0,29.0,12.93,0.0,265,2023-06-10,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
830,115,28,1,55.0,55.0,25.18,0.0,663,2023-06-10,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
736,118,50,1,40.0,40.0,17.74,0.0,577,2023-06-11,Online,Tarjeta de Debito,Entrega Estandar,Entregado,8.53
686,117,5,1,1600.0,1600.0,1256.75,0.0,542,2023-06-11,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
685,117,8,1,280.0,280.0,227.75,0.0,542,2023-06-11,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
684,117,27,1,32.0,32.0,14.38,0.0,542,2023-06-11,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
424,120,50,1,40.0,40.0,18.07,0.0,353,2023-06-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Devuelto,0.0
680,119,6,1,850.0,850.0,678.87,0.0,542,2023-06-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
681,119,15,1,60.0,60.0,48.34,0.0,542,2023-06-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
598,121,39,2,12.0,12.0,5.46,0.0,470,2023-06-14,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1154,123,44,2,16.0,16.0,7.27,0.0,917,2023-06-15,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1209,122,5,1,1600.0,1600.0,1272.68,0.0,940,2023-06-15,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1005,124,34,2,29.0,29.0,12.85,0.0,834,2023-06-18,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
774,125,42,1,32.0,30.4,14.32,0.05,621,2023-06-19,Online,Tarjeta de Credito,Entrega Estandar,Entregado,8.29
667,126,42,1,32.0,32.0,14.6,0.0,531,2023-06-19,Online,Tarjeta de Credito,Entrega Estandar,Cancelado,0.0
1491,127,39,1,12.0,12.0,5.34,0.0,1169,2023-06-20,Online,Tarjeta de Debito,Entrega Estandar,Entregado,7.29
817,130,10,1,45.0,45.0,27.29,0.0,653,2023-06-22,Online,Tarjeta de Credito,Entrega Estandar,Entregado,14.56
818,130,3,1,600.0,600.0,458.06,0.0,653,2023-06-22,Online,Tarjeta de Credito,Entrega Estandar,Entregado,14.56
1045,128,4,1,350.0,350.0,266.89,0.0,851,2023-06-22,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
791,129,48,2,15.0,15.0,6.87,0.0,635,2023-06-22,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
304,131,18,1,25.0,23.75,11.42,0.05,258,2023-06-24,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
501,132,40,1,28.0,28.0,12.57,0.0,403,2023-06-25,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
3,133,3,1,600.0,600.0,457.91,0.0,2,2023-06-28,Online,Tarjeta de Credito,Entrega Estandar,Cancelado,0.0
956,134,8,1,280.0,266.0,223.89,0.05,780,2023-06-30,Online,Tarjeta de Credito,Entrega Estandar,Entregado,9.39
1190,135,24,1,12.0,12.0,5.3,0.0,937,2023-06-30,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
1523,137,33,2,15.0,15.0,6.83,0.0,1191,2023-07-01,Online,Transferencia,Entrega Express,Entregado,8.8
368,136,24,1,12.0,12.0,5.48,0.0,294,2023-07-01,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
2,139,7,1,700.0,700.0,561.47,0.0,2,2023-07-02,Online,Transferencia,Entrega Estandar,Entregado,31.13
1093,140,17,1,30.0,30.0,13.33,0.0,887,2023-07-02,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1008,138,36,2,18.0,18.0,7.95,0.0,834,2023-07-02,Online,Tarjeta de Debito,Entrega Estandar,Entregado,6.88
1009,138,4,1,350.0,350.0,258.92,0.0,834,2023-07-02,Online,Tarjeta de Debito,Entrega Estandar,Entregado,6.88
1083,142,15,1,60.0,60.0,48.36,0.0,874,2023-07-03,Online,Tarjeta de Debito,Entrega Express,Cancelado,0.0
819,141,30,2,10.0,9.5,4.58,0.05,653,2023-07-03,Online,Tarjeta de Credito,Entrega Estandar,Entregado,8.11
384,143,10,1,45.0,45.0,27.46,0.0,321,2023-07-04,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
385,143,3,1,600.0,600.0,458.74,0.0,321,2023-07-04,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
518,145,22,2,22.0,22.0,9.82,0.0,414,2023-07-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
242,144,47,1,18.0,18.0,8.09,0.0,225,2023-07-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
243,144,21,1,18.0,18.0,8.22,0.0,225,2023-07-04,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1049,146,16,2,15.0,15.0,6.62,0.0,859,2023-07-05,Online,Tarjeta de Credito,Entrega Estandar,Entregado,6.93
108,147,17,1,30.0,30.0,13.45,0.0,111,2023-07-05,Online,Tarjeta de Debito,Entrega Estandar,Entregado,8.6
1352,148,29,1,16.0,16.0,7.1,0.0,1054,2023-07-07,Online,Transferencia,Entrega Estandar,Entregado,8.08
75,149,21,2,18.0,18.0,8.14,0.0,72,2023-07-07,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
181,151,43,1,55.0,55.0,24.89,0.0,181,2023-07-09,Fisico,Tarjeta de Debito,Retiro en Tienda,Entregado,0.0
252,152,22,1,22.0,22.0,9.86,0.0,234,2023-07-09,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1335,153,39,1,12.0,12.0,5.32,0.0,1037,2023-07-09,Online,Tarjeta de Credito,Entrega Estandar,Entregado,6.95
63,150,32,1,18.0,18.0,8.12,0.0,59,2023-07-09,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
751,154,38,1,35.0,35.0,15.46,0.0,604,2023-07-11,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
40,156,8,1,280.0,280.0,227.22,0.0,37,2023-07-12,Online,Tarjeta de Credito,Entrega Estandar,Entregado,6.64
41,156,15,1,60.0,60.0,48.01,0.0,37,2023-07-12,Online,Tarjeta de Credito,Entrega Estandar,Entregado,6.64
327,155,37,1,22.0,22.0,9.99,0.0,266,2023-07-12,Fisico,Transferencia,Retiro en Tienda,Entregado,0.0
531,159,26,1,45.0,45.0,20.35,0.0,422,2023-07-13,Online,Tarjeta de Debito,Entrega Estandar,Entregado,8.12
603,157,30,1,10.0,10.0,4.55,0.0,470,2023-07-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
999,158,6,1,850.0,850.0,689.36,0.0,834,2023-07-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
1000,158,8,1,280.0,266.0,223.2,0.05,834,2023-07-13,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
111,160,35,1,40.0,40.0,18.05,0.0,111,2023-07-14,Online,Tarjeta de Credito,Entrega Estandar,Entregado,3.62
110,160,34,1,29.0,29.0,12.9,0.0,111,2023-07-14,Online,Tarjeta de Credito,Entrega Estandar,Entregado,3.62
1095,162,45,1,10.0,10.0,4.54,0.0,887,2023-07-15,Fisico,Tarjeta de Credito,Retiro en Tienda,Entregado,0.0
